h1,c1,h2,c2,h3,c3,h4,c4,h5,c5,label
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,1
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
P,S,PP,SS,,,,,,,2
S,P,PS,PP,PPS,SPP,,,,,0
S,P,SS,SP,PSS,PSP,PPSS,PPSP,,,2
S,R,SS,SR,PSS,PSR,PPSS,PPSR,,,0
S,R,SS,SR,PSS,PSR,PPSS,PPSR,,,2
P,P,SP,PP,SSP,SPP,PSSP,SSPP,PPSSP,PSSPP,1
P,P,SP,RP,SSP,SRP,PSSP,SSRP,PPSSP,PSSRP,1
P,R,SP,RR,SSP,SRR,PSSP,SSRR,PPSSP,PSSRR,0
P,R,SP,RR,SSP,SRR,PSSP,SSRR,PPSSP,PSSRR,0
P,P,SP,SP,SSP,SSP,PSSP,SSSP,PPSSP,PSSSP,1
S,S,SS,PS,PSS,RPS,PPSS,PRPS,,,0
S,S,SS,RS,PSS,RRS,PPSS,PRRS,,,0
P,R,SP,PR,SSP,SPR,PSSP,RSPR,PPSSP,RRSPR,0
S,R,SS,SR,PSS,RSR,PPSS,PRSR,,,0
P,P,SP,PP,SSP,SPP,PSSP,SSPP,PPSSP,RSSPP,1
P,P,SP,PP,SSP,SPP,PSSP,SSPP,PPSSP,RSSPP,2
P,R,SP,PR,SSP,SPR,PSSP,SSPR,PPSSP,RSSPR,1
